BirdID,Sex,AgeY,AgeClass,BirthFPID,U_PlateID,RTL,Technician,Terr,FPID,mum,dad,MAC,PAC,BrF,BrM
5508,1,0.657534246575342,SA,92,9_5,1.01,1,47.1,104,4896,2990,3.2027397260274,5.61917808219178,4896,2990
5508,1,3.63287671232877,A,92,9_36,0.35,1,47.1,122,4896,2990,3.2027397260274,5.61917808219178,4896,2990
5524,0,0.657534246575342,SA,92,9_25,0.67,1,47.1,104,3608,1553,4.16164383561644,10.0794520547945,3608,1553
5524,0,2.2,A,92,9_18,0.67,1,129,112,3608,1553,4.16164383561644,10.0794520547945,3608,1553
5507,1,0.657534246575342,SA,92,9_18,0.65,1,37,104,3094,1553,5.14246575342466,10.0739726027397,3094,5170
5535,0,0.657534246575342,SA,92,9_18,0.56,1,39,104,2968,5240,6.10684931506849,1.6,2968,5240
5523,1,3.61917808219178,A,92,9_5,1.23,1,43,122,1757,1616,8.1013698630137,8.94246575342466,1757,1523
5522,1,0.657534246575342,SA,92,9_17,0.77,1,41.1,104,1757,1616,8.1013698630137,8.94246575342466,1757,1523
5523,1,2.85479452054795,A,92,9_24,0.7,1,43,116,1757,1616,8.1013698630137,8.94246575342466,1757,1523
5523,1,4.61369863013699,A,92,9_22,0.5,1,43,125,1757,1616,8.1013698630137,8.94246575342466,1757,1523
5522,1,2.25205479452055,A,92,9_3,0.37,1,86,112,1757,1616,8.1013698630137,8.94246575342466,1757,1523
5523,1,2.61369863013699,A,92,9_1,0.88,1,43,116,1757,1616,8.1013698630137,8.94246575342466,1757,1523
5336,0,1.23835616438356,A,92,8_37,1.38,1,45,104,1042,1577,12.7917808219178,9.03835616438356,1042,1577
5336,0,0.246575342465753,J,92,8_3,1.51,1,46,92,1042,1577,12.7917808219178,9.03835616438356,1042,1577
5537,0,0.657534246575342,SA,92,9_9,0.99,1,47.1,104,1669,1881,8.29315068493151,6.21369863013699,4971,1897
5537,0,4.61917808219178,A,92,9_12,0.99,1,54,125,1669,1881,8.29315068493151,6.21369863013699,4971,1897
5537,0,1.83835616438356,A,92,9_12,0.94,1,54,105,1669,1881,8.29315068493151,6.21369863013699,4971,1897
5447,1,0.164383561643836,FL,92,3_87,0.77,2,78,92,2989,1731,5.12328767123288,6.75342465753425,2989,4887
5447,1,4.19452054794521,A,92,7_31,0.48,1,55,122,2989,1731,5.12328767123288,6.75342465753425,2989,4887
5456,1,0.0273972602739726,CH,92,8_9,0.97,1,52.1,92,4958,4888,2.68767123287671,2.93972602739726,4958,4888
5456,1,1.04657534246575,SA,92,8_38,1.25,1,92,104,4958,4888,2.68767123287671,2.93972602739726,4958,4888
5456,1,2.88219178082192,A,92,8_35,1.25,1,92,116,4958,4888,2.68767123287671,2.93972602739726,4958,4888
5339,0,1.19452054794521,SA,92,8_34,0.38,1,6,104,1826,1499,5.75616438356164,9.75068493150685,1826,1499
5339,0,0.164383561643836,FL,92,8_1,1.08,1,6,92,1826,1499,5.75616438356164,9.75068493150685,1826,1499
